Company Name,CIK Number,Ticker Symbol,Options Volume,Filing Date,Exhibit 99.1 URL,Filing Accession Number,Claude Analysis
"NIKE, Inc.",320187,NKE,228638,2025-09-30,https://www.sec.gov/Archives/edgar/data/320187/000032018725000091/q1fy26exhibit991er.htm,000032018725000091,Not analyzed
"WOLFSPEED, INC.",895419,WOLF,149152,2025-09-30,https://www.sec.gov/Archives/edgar/data/895419/000119312525224251/d22768dex991.htm,000119312525224251,Not analyzed
CARNIVAL CORP,815097,CCL,63483,2025-09-30,https://www.sec.gov/Archives/edgar/data/815097/000095014225002580/eh250684989_ex9901.htm,000095014225002580,Not analyzed
CARNIVAL CORP,815097,CCL,63483,2025-09-30,https://www.sec.gov/Archives/edgar/data/815097/000095014225002569/eh250685002_ex9901.htm,000095014225002569,Not analyzed
D-Wave Quantum Inc.,1907982,QBTS,30293,2025-09-30,https://www.sec.gov/Archives/edgar/data/1907982/000190798225000214/exhibit991northwalespolice.htm,000190798225000214,Not analyzed
PROGRESS SOFTWARE CORP /MA,876167,PRGS,8625,2025-09-30,https://www.sec.gov/Archives/edgar/data/876167/000087616725000147/a3q25finalsupplementalde.htm,000087616725000147,Not analyzed
PAYCHEX INC,723531,PAYX,6903,2025-09-30,https://www.sec.gov/Archives/edgar/data/723531/000119312525224146/payx-ex99_1.htm,000119312525224146,Not analyzed
"Lamb Weston Holdings, Inc.",1679273,LW,6235,2025-09-30,https://www.sec.gov/Archives/edgar/data/1679273/000167927325000068/lw-20250824x8kxexx9911q26.htm,000167927325000068,Not analyzed
"Kodiak AI, Inc.",1853138,AACT,4172,2025-09-30,https://www.sec.gov/Archives/edgar/data/1853138/000119312525225299/d933659dex991.htm,000119312525225299,Not analyzed
Zeta Global Holdings Corp.,1851003,ZETA,4153,2025-09-30,https://www.sec.gov/Archives/edgar/data/1851003/000119312525225008/zeta-ex99_1.htm,000119312525225008,Not analyzed
UNITED NATURAL FOODS INC,1020859,UNFI,3643,2025-09-30,https://www.sec.gov/Archives/edgar/data/1020859/000102085925000050/f25q4earningsrelease.htm,000102085925000050,Not analyzed
"OCULAR THERAPEUTIX, INC",1393434,OCUL,3431,2025-09-30,https://www.sec.gov/Archives/edgar/data/1393434/000110465925094758/tm2527344d1_ex99-1.htm,000110465925094758,Not analyzed
MORGAN STANLEY,895421,MS,2953,2025-09-30,https://www.sec.gov/Archives/edgar/data/895421/000095010325012581/dp235215_ex9901.htm,000095010325012581,Not analyzed
"Unusual Machines, Inc.",1956955,UMAC,2269,2025-09-30,https://www.sec.gov/Archives/edgar/data/1956955/000168316825007320/0001683168-25-007320.txt,000168316825007320,Not analyzed
ETHZilla Corp,1690080,ETHZ,1256,2025-09-30,https://www.sec.gov/Archives/edgar/data/1690080/000121390025093411/ea025910501ex99-1_ethzilla.htm,000121390025093411,Not analyzed
FARADAY FUTURE INTELLIGENT ELECTRIC INC.,1805521,FFAI,1242,2025-09-30,https://www.sec.gov/Archives/edgar/data/1805521/000121390025093359/0001213900-25-093359.txt,000121390025093359,Not analyzed
Transocean Ltd.,1451505,RIG,816,2025-09-30,https://www.sec.gov/Archives/edgar/data/1451505/000145150525000106/rig-20250930xex99d1.htm,000145150525000106,Not analyzed
Matador Resources Co,1520006,MTDR,813,2025-09-30,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000210/a20250929mtdr8-kexhibit991.htm,000152000625000210,Not analyzed
CRH PUBLIC LTD CO,849395,CRH,772,2025-09-30,https://www.sec.gov/Archives/edgar/data/849395/000119312525224165/d941868dex991.htm,000119312525224165,Not analyzed
LAVA Therapeutics NV,1840748,LVTX,747,2025-09-30,https://www.sec.gov/Archives/edgar/data/1840748/000110465925094744/tm2526706d2_ex99-1.htm,000110465925094744,Not analyzed
OMNICOM GROUP INC.,29989,OMC,631,2025-09-30,https://www.sec.gov/Archives/edgar/data/29989/000121390025094068/ea025942501ex99-1_omnicom.htm,000121390025094068,Not analyzed
ADT Inc.,1703056,ADT,514,2025-09-30,https://www.sec.gov/Archives/edgar/data/1703056/000170305625000151/ex991-notesofferinglaunchp.htm,000170305625000151,Not analyzed
